arquivo,origem,uso_recomendado
00_identidade/logo-db-texto.png,DEBORA-LOGO-TEXTO.png,Identidade visual / logos
00_identidade/logo-db-simbolo.png,logo-db-3.png,Identidade visual / logos
00_identidade/logo-db-simbolo-fundo-escuro.png,logo-principal-fundo-escuro-invertido.png,Identidade visual / logos
00_identidade/logo-programa-marca-intencional.png,MARCA-INTENCIONAL-LOGO.png,Identidade visual / logos
00_identidade/logo-programa-sequoia.png,sequoia-logo-programa.png,Identidade visual / logos
01_home/hero-atual-manter/debora-hero-atual.jpg,debora-ensaio-hero.jpg,Hero atual da home — manter como está por enquanto.
01_home/sobre/debora-sobre-camisa-branca.webp,debora-005.png,"Seção Sobre — foto principal de autoridade, acolhedora e institucional."
01_home/galeria/debora-galeria-01-presenca-espelho.webp,Debora _Branding_Posicionamento.png,Galeria Presença Profissional / Marca Intencional — foto com bastidor e presença executiva.
01_home/galeria/debora-galeria-02-sentada-pb.webp,deborapbsentada01.jpeg,"Galeria Presença Profissional — variação editorial P&B, sofisticada."
01_home/galeria/debora-galeria-03-sentada-color.webp,deborasentadacolor01.jpeg,Galeria Presença Profissional — variação sentada colorida.
01_home/galeria/debora-galeria-04-pose-cadeira.webp,deborasentadapose01.jpeg,Galeria Presença Profissional — retrato próximo e amigável.
02_programas/marca-intencional/debora-marca-intencional-fundo-escuro.webp,DEBORA-MARCA-PESSOAL.png,"Página Marca Intencional — imagem forte, premium e focada em posicionamento."
02_programas/marca-intencional/debora-marca-intencional-sofa.webp,debsss.png,Apoio para Marca Intencional / seção de presença profissional.
02_programas/marca-intencional/debora-marca-makingof-espelho.webp,deborasentadamakingoff01.jpeg,Apoio de bastidor para Marca Intencional e blog.
02_programas/lideranca-atualizada/debora-lideranca-presenca-executiva.webp,debora_Presença Executiva.png,Página Liderança Atualizada — imagem de postura executiva e presença.
02_programas/lideranca-atualizada/debora-lideranca-pb-estudio.webp,deborapbsentada0102.jpeg,Apoio editorial para Liderança Atualizada.
02_programas/lideranca-atualizada/debora-lideranca-livros.webp,LIVROSDB.jpg,Apoio de autoridade/conteúdo para Liderança Atualizada.
02_programas/mentoria-individual/debora-mentoria-cafe-biblioteca.webp,deboracafe01.jpeg,Página Mentoria Individual — imagem intimista e consultiva.
02_programas/mentoria-individual/debora-mentoria-notebook.webp,deborabrollnotebook.jpeg,Mentoria Individual / blog — bastidor de trabalho estratégico.
02_programas/mentoria-individual/debora-mentoria-sofa-notebook.webp,deborasentadaespontanea01.jpeg,"Mentoria Individual — escuta, proximidade e orientação."
02_programas/mentoria-individual/debora-mentoria-sofa-livros.webp,deborasentadaespontanea02.jpeg,Mentoria Individual / Marca Intencional — repertório e prática.
02_programas/sequoia/debora-sequoia-estudo-noturno.webp,deborasentadaespontanea003.jpeg,"Comunidade Sequoia — desenvolvimento contínuo, estudo e aprofundamento."
02_programas/sequoia/debora-sequoia-manifesto-01.webp,manisfesto_debora_foto01.png,Sequoia / manifesto — retrato institucional vertical.
02_programas/sequoia/debora-sequoia-manifesto-02.webp,manisfesto_debora_foto02.png,Sequoia / manifesto — retrato claro e institucional.
03_palestras_consultoria/palestras/debora-palestra-grupo-01.webp,deboraatuacao01.jpeg,Página Palestras — prova social com grupo presencial.
03_palestras_consultoria/palestras/debora-palestra-grupo-02.webp,deboraatuacao03.jpeg,Página Palestras — grupo/audiência.
03_palestras_consultoria/palestras/debora-palestra-palco-grupo.webp,deborapalestra01.jpeg,Página Palestras — evento presencial com participantes.
03_palestras_consultoria/palestras/debora-palestra-auditorio.webp,deborapalestra02.jpeg,Página Palestras — auditório/público.
03_palestras_consultoria/palestras/debora-palestra-grupo-selfie.webp,deboraatuacao04.jpeg,Página Palestras — bastidor com participantes.
03_palestras_consultoria/palestras/debora-palestra-online-mosaico.webp,deboraatuacao02.jpeg,Página Palestras — online/virtual.
03_palestras_consultoria/palestras/debora-palestra-online-card.webp,deboraatuacao07.jpeg,Página Palestras — material online.
03_palestras_consultoria/consultoria/debora-consultoria-reuniao-01.webp,Deboraconsultoriadrnortebradesco01.jpeg,Consultoria de RH / empresas — reunião e diagnóstico.
03_palestras_consultoria/consultoria/debora-consultoria-reuniao-02.webp,Deboraconsultoriadrnortebradesco02.jpeg,Consultoria de RH / empresas — sala de trabalho.
04_banco_de_imagens/debora-apoio-poltrona-cinza.webp,debora-004.png,Banco de imagens — retrato de apoio para blog/CTA.
04_banco_de_imagens/debora-grupo-selfie.webp,deboraatuacao04.jpeg,Banco de imagens — prova social com grupo.
